processId,threadId,parentProcessId,userId,mountNamespace,argsNum,returnValue,sus_label
7588,36,8098,1883,7,2,0,0
35663,104,3387,1203,3,3,1,0
41397,933,798,1252,3,4,0,0
45481,956,2761,1915,7,4,0,0
26559,465,4433,1090,2,1,0,0
13115,695,2406,1267,7,0,0,0
90225,1897,208,84,17,7,1,1
17896,53,7399,1458,2,2,0,0
19227,184,8911,1567,2,4,0,0
49513,944,3405,1783,9,4,0,0
18327,760,6088,1827,1,2,0,0
53044,3662,294,60,45,18,-1,1
5425,792,7711,1216,9,1,0,0
5263,778,6224,1390,8,4,0,0
24930,615,9545,1496,2,2,1,0
56538,1534,367,22,38,13,0,1
41251,471,3940,1787,1,1,0,0
39520,49,4915,1898,3,2,0,0
67430,2662,450,0,28,5,-1,1
24857,276,2524,1400,6,2,0,0
18658,433,8110,1479,7,0,0,0
48011,246,3743,1877,1,2,0,0
34755,453,3845,1573,5,1,0,0
25557,345,9908,1431,7,1,0,0
44336,164,4340,1076,6,2,0,0
88019,4281,313,92,41,8,0,1
24664,959,3146,1614,8,4,0,0
7894,350,1530,1036,3,2,0,0
77937,4301,484,23,30,11,1,1
39360,968,8544,1926,3,0,0,0
72732,4045,195,34,15,16,1,1
36851,585,4396,1552,4,0,0,0
40901,483,5785,1987,4,3,0,0
74225,3014,407,14,32,12,-1,1
39314,368,1039,1164,5,3,0,0
17082,318,1308,1661,1,1,1,0
36954,792,8392,1899,4,0,0,0
87874,4562,439,76,15,15,1,1
69522,4498,10,84,28,16,0,1
76823,1774,419,97,45,16,-1,1
78299,2031,496,88,27,10,1,1
7168,625,7867,1032,9,4,0,0
10474,947,9250,1012,7,1,0,0
59939,4187,114,48,45,9,1,1
98314,1693,93,84,22,5,-1,1
82420,4667,22,12,49,19,-1,1
90777,4721,464,8,21,15,1,1
53971,4638,324,91,29,15,-1,1
29795,784,8344,1018,2,3,0,0
9461,836,7081,1394,4,2,0,0
65216,2448,150,5,26,9,0,1
29854,849,2375,1319,3,4,0,0
43468,649,9380,1233,6,3,0,0
36835,452,6599,1676,6,0,0,0
67410,3917,379,52,24,19,-1,1
95788,3452,429,26,13,8,0,1
92778,4303,34,67,39,8,0,1
1526,733,8465,1696,4,0,0,0
22962,667,7498,1918,7,2,0,0
26051,526,5487,1659,2,2,0,0
27661,735,2377,1062,8,0,0,0
80107,2826,27,74,21,18,-1,1
23403,122,1006,1688,2,0,0,0
16360,515,7294,1345,5,4,0,0
24551,978,3877,1129,1,0,0,0
40649,161,7226,1471,8,3,0,0
22951,551,6700,1565,7,3,0,0
17198,87,1692,1198,8,3,1,0
56458,4224,435,64,41,8,0,1
40809,280,3740,1265,5,1,0,0
33913,135,8757,1104,6,0,0,0
23669,976,4132,1086,5,2,0,0
47678,120,1201,1402,2,1,0,0
18543,788,1744,1570,1,2,0,0
47766,336,9717,1011,7,1,0,0
36144,367,4227,1372,5,3,0,0
19474,783,2167,1910,2,0,1,0
4343,205,6797,1363,3,0,0,0
43409,618,8423,1812,6,2,1,0
56120,1602,156,45,20,17,-1,1
11058,317,8969,1765,6,0,0,0
30855,754,1056,1063,1,3,0,0
13987,19,4227,1233,9,1,1,0
86939,3329,430,61,47,7,0,1
6469,166,8522,1216,4,3,0,0
12653,844,4707,1596,2,0,0,0
3695,817,4457,1579,5,2,1,0
35196,203,7605,1568,4,4,0,0
84076,3125,35,98,36,19,1,1
51265,2654,11,87,29,17,0,1
62332,4049,42,99,20,14,1,1
29074,198,4739,1779,4,3,0,0
31087,561,2120,1220,7,3,0,0
5748,604,3159,1698,9,1,0,0
84515,3414,366,23,10,15,-1,1
57965,3387,191,61,19,13,0,1
68186,4267,339,36,45,14,0,1
46241,677,7782,1472,9,2,0,0
18449,384,1769,1329,3,4,0,0
23928,909,2090,1734,8,0,1,0
37735,573,4081,1119,4,2,0,0
64059,2752,27,27,43,16,1,1
62268,1324,140,1,35,6,-1,1
67855,4990,447,17,39,13,-1,1
20255,492,1730,1105,5,3,0,0
49689,143,2874,1746,2,2,1,0
95004,4892,154,60,26,16,1,1
29365,478,2724,1077,6,1,0,0
30165,375,1318,1411,5,1,0,0
40420,238,9596,1876,1,2,1,0
17724,676,1409,1990,4,4,0,0
84354,1417,322,70,37,16,-1,1
23574,44,2648,1437,8,4,0,0
47971,331,8194,1042,7,1,0,0
21119,749,6773,1783,4,0,0,0
84527,2076,197,36,33,17,-1,1
29495,702,4919,1869,5,4,1,0
64251,3935,173,10,35,19,-1,1
30371,490,6623,1217,7,0,0,0
67751,3024,449,53,13,11,1,1
2267,223,9332,1887,6,2,0,0
77276,2172,366,40,34,17,1,1
1846,552,5690,1122,7,2,0,0
8287,548,4361,1114,2,0,1,0
22447,925,3021,1896,6,4,0,0
79018,1320,487,21,20,5,0,1
39429,517,9673,1363,6,3,0,0
42844,595,3090,1838,9,0,0,0
1258,721,1301,1455,1,2,0,0
43533,720,4711,1245,4,2,1,0
47857,802,3338,1838,2,0,0,0
17482,840,3499,1460,9,2,0,0
4040,895,4190,1932,5,3,0,0
20065,398,5145,1997,6,0,1,0
94041,2220,125,74,21,5,-1,1
39356,659,7321,1437,4,3,0,0
71398,1106,329,59,12,18,-1,1
16087,659,2806,1206,7,2,1,0
13109,855,8833,1561,7,1,0,0
38346,660,8630,1873,9,2,0,0
43956,745,7799,1908,7,1,0,0
30334,378,7142,1397,1,3,0,0
68050,4367,53,49,16,10,1,1
27734,17,3213,1491,5,0,0,0
39102,525,5568,1758,8,2,0,0
68308,2907,398,21,42,13,1,1
72486,4841,484,97,10,10,-1,1
36822,452,6080,1324,2,4,1,0
27431,435,2500,1104,8,3,1,0
5033,655,3286,1321,1,3,0,0
37397,258,1497,1466,7,3,0,0
22510,753,4811,1448,2,3,0,0
98864,2627,109,32,49,13,-1,1
90185,3949,368,93,48,19,1,1
77506,4036,131,14,46,15,-1,1
18764,807,9523,1121,3,4,0,0
21491,248,1570,1618,2,0,0,0
8151,268,6019,1561,2,2,0,0
7090,620,7087,1847,8,0,0,0
87747,1732,72,45,30,7,-1,1
30426,392,5420,1018,8,1,1,0
49096,567,8552,1554,8,0,0,0
22545,438,6914,1040,3,0,0,0
35801,256,4332,1693,1,0,0,0
9927,811,6220,1446,3,2,0,0
13178,438,7527,1569,5,3,0,0
56180,4180,237,80,49,16,0,1
45623,785,2350,1878,1,4,0,0
32966,958,7299,1491,3,4,0,0
46033,349,9026,1111,1,2,1,0
35317,265,4713,1448,2,4,0,0
20194,366,1853,1329,9,1,0,0
2678,869,8157,1886,4,2,1,0
29178,156,7352,1073,7,2,1,0
25917,89,4902,1516,5,4,1,0
76088,4332,425,18,16,8,-1,1
42090,678,2753,1746,4,1,0,0
42752,560,4565,1442,4,2,1,0
7370,653,3231,1863,8,1,0,0
2750,212,1178,1922,5,2,0,0
5583,113,6666,1548,2,0,0,0
72285,4195,469,15,12,14,1,1
22874,266,6602,1844,1,4,0,0
81171,4858,315,15,43,10,0,1
90735,3940,72,1,38,11,1,1
11975,616,2320,1633,6,2,0,0
8973,674,4408,1069,8,2,1,0
12362,61,4490,1811,8,3,0,0
60225,1055,146,16,41,7,0,1
37244,65,6472,1188,3,2,0,0
1141,148,3846,1092,7,2,0,0
25826,804,1219,1911,8,3,0,0
16305,13,2720,1532,2,4,0,0
30124,441,8033,1853,5,0,0,0
24252,355,1289,1456,1,3,1,0
46105,101,3414,1574,4,4,0,0
2667,59,5368,1507,1,2,0,0
5666,901,7562,1578,8,1,0,0
29295,387,3144,1306,6,2,0,0
11793,181,9784,1684,7,0,0,0
32010,660,1227,1166,3,2,1,0
63217,3735,478,38,26,6,0,1
6779,81,4652,1720,7,1,0,0
18412,987,9769,1270,3,1,0,0
46952,260,1691,1617,8,4,1,0
10122,64,8710,1685,9,3,0,0
30402,283,2312,1657,2,4,0,0
43092,611,8502,1494,9,1,0,0
81979,4914,441,49,40,17,-1,1
94905,1522,77,55,17,17,-1,1
37751,819,3077,1241,4,3,0,0
7295,947,6970,1916,1,1,0,0
10208,951,4299,1463,6,4,0,0
22800,314,2670,1897,5,1,0,0
56771,1725,427,82,33,18,0,1
12130,907,4013,1681,3,2,0,0
70422,3375,303,91,44,9,1,1
16934,303,5735,1094,8,3,0,0
7767,890,6730,1922,7,0,0,0
36612,833,9005,1024,9,3,0,0
25817,273,4150,1998,4,2,0,0
94341,2086,99,59,23,7,0,1
71426,1131,246,76,20,10,1,1
61108,4302,187,69,22,6,1,1
74158,2509,238,52,15,17,-1,1
21677,853,1464,1447,4,3,1,0
2633,741,8523,1466,4,2,0,0
29312,927,2681,1382,9,0,0,0
24275,82,3510,1611,9,3,0,0
4374,18,5439,1133,2,4,0,0
3849,937,1674,1765,1,0,0,0
99966,4663,452,73,31,15,-1,1
81589,3154,114,96,44,13,1,1
52991,1259,105,63,22,18,1,1
11966,184,2485,1821,5,1,1,0
68354,2781,272,63,40,11,-1,1
8783,378,6522,1335,8,2,0,0
28932,639,7415,1274,8,2,0,0
22969,362,7627,1207,2,4,0,0
39765,459,7443,1749,2,3,0,0
12261,929,1530,1532,6,1,0,0
75226,1989,274,1,17,19,1,1
28632,340,1259,1484,1,2,0,0
68642,2003,272,85,29,9,1,1
93739,2765,328,61,31,17,-1,1
26522,331,750,1890,2,4,0,0
18824,876,8669,1619,6,0,0,0
99117,1282,24,70,26,19,0,1
73898,4507,408,48,42,9,1,1
85271,1050,312,41,27,8,-1,1
37727,125,2638,1540,8,0,0,0
1619,114,2678,1778,3,2,0,0
28208,430,1159,1484,2,1,0,0
8521,288,7343,1554,8,1,0,0
75358,3574,183,80,36,12,1,1
34719,997,1072,1140,2,0,0,0
13874,772,4821,1256,3,3,0,0
75724,4240,418,0,37,9,-1,1
6759,524,7059,1532,5,1,0,0
23424,787,9639,1990,4,3,1,0
18453,542,8169,1177,9,0,1,0
27215,313,8945,1468,7,4,0,0
21022,395,9744,1485,3,0,0,0
30749,215,9790,1872,1,0,0,0
13185,202,3157,1537,2,2,0,0
86843,1182,191,31,14,15,0,1
29441,144,3901,1714,2,4,0,0
20870,188,6554,1557,5,2,0,0
47760,424,3191,1400,7,4,0,0
19942,975,8274,1350,9,1,0,0
4051,733,6150,1794,2,2,0,0
10435,972,8393,1563,7,0,0,0
79943,4510,145,55,37,15,0,1
63730,4909,471,91,12,7,-1,1
86992,2316,433,66,15,15,1,1
41998,776,1209,1854,7,4,0,0
42899,690,7325,1866,1,1,0,0
36757,640,1509,1883,3,1,0,0
81848,1156,448,12,43,8,0,1
11693,898,3068,1564,7,1,1,0
36153,529,3274,1264,6,0,0,0
43101,754,7166,1259,6,0,0,0
89502,4133,351,49,38,19,-1,1
68535,1355,484,16,32,12,0,1
81001,3722,294,67,45,10,1,1
12138,481,7673,1698,2,1,0,0
45139,276,5032,1870,4,0,0,0
8970,141,8206,1670,7,0,0,0
14737,857,8677,1350,7,3,0,0
55948,2817,239,23,22,11,0,1
34986,701,4706,1727,4,1,1,0
46080,945,3137,1568,5,0,0,0
10715,220,5081,1242,4,1,0,0
25574,530,7263,1126,8,3,0,0
70243,3698,4,66,46,6,-1,1
8239,375,7442,1875,8,3,0,0
46758,825,1999,1991,6,1,0,0
22833,832,4578,1341,2,1,0,0
18030,899,4918,1316,6,3,0,0
1726,665,6176,1639,7,1,0,0
38443,362,5785,1258,2,4,0,0
59585,1939,31,82,12,15,1,1
14489,248,9474,1987,4,2,0,0
37298,863,4018,1982,1,1,0,0
70379,2963,117,71,19,6,-1,1
1404,564,3962,1202,2,4,0,0
17052,683,4835,1007,1,2,0,0
77700,4373,389,95,49,7,-1,1
1125,939,1513,1251,5,3,0,0
21172,884,8133,1886,6,4,0,0
38744,923,8581,1325,7,2,0,0
41864,771,4229,1542,5,1,0,0
49831,529,900,1029,1,1,0,0
45165,104,3163,1775,2,2,1,0
13763,804,3683,1883,2,4,0,0
34361,192,2236,1847,6,3,0,0
38609,518,1367,1991,8,3,0,0
23386,322,7272,1111,4,3,0,0
83622,2165,324,6,13,14,1,1
4561,440,2152,1322,1,2,0,0
59629,3263,46,63,27,11,1,1
32337,671,9015,1620,6,1,0,0
26498,237,1114,1646,1,4,0,0
8758,667,2000,1140,3,0,0,0
43003,968,9490,1667,2,1,0,0
18625,439,1674,1815,7,4,0,0
37368,728,8888,1526,7,0,0,0
41287,678,9047,1536,3,2,0,0
71294,1793,429,65,35,16,1,1
1728,329,5917,1284,5,3,0,0
3711,790,4125,1380,9,1,0,0
82894,3589,470,3,17,7,-1,1
25107,471,7588,1058,6,2,0,0
43356,776,2618,1462,6,0,0,0
72887,3839,173,51,12,15,0,1
17967,507,5991,1818,4,2,0,0
3023,457,9205,1560,3,4,0,0
44006,768,3476,1792,7,0,0,0
35501,60,4171,1485,6,0,0,0
27966,931,8360,1983,4,2,0,0
63887,3485,238,48,38,6,0,1
7776,379,1007,1590,3,2,0,0
34937,429,4268,1890,4,4,0,0
68059,2898,199,99,46,19,1,1
26851,7,7744,1012,1,1,0,0
33003,143,5816,1227,4,3,0,0
12700,247,3685,1504,7,1,0,0
49988,621,4445,1449,4,4,0,0
18674,97,3235,1774,9,1,0,0
35084,36,3407,1491,4,4,0,0
66920,3945,228,36,41,17,0,1
26342,999,1684,1625,9,4,0,0
9571,988,1441,1237,2,0,0,0
1163,416,5994,1734,3,4,0,0
35775,298,8319,1530,9,0,0,0
89258,4575,391,53,16,11,0,1
13875,834,8783,1951,7,4,0,0
58294,2136,226,18,21,17,-1,1
39565,565,2915,1768,4,1,1,0
38208,343,9302,1863,3,0,0,0
26279,575,5822,1476,6,4,0,0
78561,2184,496,38,41,6,0,1
46543,738,1401,1528,5,2,0,0
47163,891,8912,1832,3,4,0,0
29732,930,5420,1272,4,0,0,0
48304,420,6617,1063,3,1,1,0
33808,864,2796,1053,4,4,0,0
24291,467,904,1717,7,4,0,0
87595,4267,139,63,46,8,0,1
39278,938,4509,1390,6,0,0,0
98867,3549,233,43,31,13,-1,1
60373,1866,185,21,19,18,-1,1
83135,2002,133,3,37,12,1,1
2431,164,1809,1097,8,0,0,0
29903,186,5212,1154,5,3,1,0
25052,431,3697,1624,1,1,0,0
2376,901,3791,1220,4,0,0,0
3839,675,6491,1850,8,0,0,0
20033,861,1849,1731,5,2,0,0
21714,433,5819,1545,8,4,0,0
26821,944,3323,1060,8,1,0,0
4330,729,8442,1929,3,4,0,0
45215,787,904,1710,6,0,0,0
76769,3787,408,74,42,7,0,1
86326,1713,244,26,28,19,1,1
33413,214,3317,1265,1,1,0,0
10168,386,4728,1168,9,0,0,0
78898,1855,484,71,42,16,0,1
91982,4654,31,59,24,9,-1,1
9792,658,4466,1224,4,2,0,0
12918,583,3701,1263,5,4,0,0
39623,273,2580,1950,6,0,0,0
29710,784,1949,1552,4,1,1,0
33635,292,9390,1270,4,0,0,0
24150,248,9394,1745,9,3,0,0
36854,546,5927,1143,2,4,0,0
39356,890,1097,1255,2,2,1,0
18506,540,5422,1590,6,1,0,0
66303,1993,189,22,31,5,-1,1
13161,729,8802,1568,6,1,0,0
27641,127,9711,1737,2,1,0,0
35636,860,4459,1549,8,1,0,0
85707,1827,385,70,48,9,-1,1
98071,4720,24,3,16,13,-1,1
77328,2946,101,79,20,14,1,1
46453,818,4118,1113,2,1,0,0
69750,3130,356,9,33,12,0,1
24863,414,9732,1696,1,0,0,0
44001,375,9543,1117,2,0,0,0
2279,468,4650,1994,7,1,0,0
25933,489,3068,1771,4,1,0,0
17514,387,817,1646,5,1,1,0
7563,388,1447,1690,6,0,1,0
58232,4533,377,72,40,15,1,1
32822,279,7352,1601,9,0,0,0
40825,658,8425,1092,8,1,0,0
12613,401,3776,1137,4,0,0,0
24939,847,8454,1865,1,1,0,0
38438,965,569,1626,6,3,0,0
6249,720,8920,1180,6,1,0,0
39044,427,5337,1081,1,3,0,0
9130,631,3832,1824,3,2,0,0
76561,2779,95,24,35,14,-1,1
85911,3057,229,89,33,5,-1,1
92557,1832,357,5,29,8,0,1
29173,988,8057,1258,9,3,0,0
35964,183,7513,1554,8,1,0,0
47733,458,6296,1387,9,0,0,0
46525,726,9595,1489,1,4,0,0
66615,3662,178,72,32,14,1,1
20584,810,1083,1795,9,3,0,0
57071,3167,473,74,41,5,0,1
97060,4868,52,0,19,7,1,1
36525,448,5911,1563,7,0,0,0
44872,651,808,1217,4,2,0,0
93394,4165,359,45,26,6,-1,1
33711,903,3996,1576,5,2,0,0
69275,3403,24,38,16,7,1,1
75406,1931,176,37,16,12,-1,1
33320,972,3932,1885,3,2,0,0
88945,1646,279,20,14,19,1,1
29602,962,1575,1520,7,3,0,0
67673,3752,389,32,22,9,0,1
46500,963,4395,1317,7,1,0,0
17370,13,8490,1230,2,1,0,0
3983,870,6630,1560,4,2,0,0
68847,4895,254,23,26,13,0,1
93898,1670,437,22,42,7,-1,1
46714,195,512,1530,4,3,0,0
81490,1343,462,31,44,8,0,1
67858,3719,352,87,39,8,-1,1
67499,3563,432,72,42,13,-1,1
45811,236,8681,1128,4,4,0,0
34160,948,7479,1223,8,1,0,0
19743,564,1721,1558,2,2,1,0
77774,4020,410,26,23,8,-1,1
8357,974,690,1022,2,4,0,0
34400,345,5341,1165,6,4,0,0
39243,148,4375,1802,3,4,0,0
53883,3094,95,83,41,16,0,1
74833,2369,144,62,44,14,0,1
76167,4644,43,3,22,17,-1,1
37598,965,9991,1391,1,1,0,0
94292,3612,124,6,32,19,-1,1
8851,971,9029,1102,4,3,0,0
7980,436,2965,1820,6,3,0,0
40748,537,2576,1033,9,2,0,0
11789,194,6733,1187,4,3,0,0
98544,4349,376,39,44,17,-1,1
92536,4729,271,80,29,9,-1,1
9712,40,2100,1291,3,2,0,0
5798,424,6784,1781,6,2,0,0
98745,1062,300,85,44,12,0,1
86590,4635,480,25,18,7,0,1
76690,4847,37,25,26,7,-1,1
60605,4214,340,99,36,7,0,1
11526,48,1055,1591,5,4,0,0
7873,118,2658,1634,7,4,0,0
98002,2276,48,32,35,8,-1,1
25519,886,3338,1338,1,4,0,0
80397,3974,74,80,37,13,1,1
29276,830,5666,1260,3,4,0,0
52535,3621,58,43,19,7,1,1
15060,515,5913,1412,9,4,0,0
91534,4202,37,76,49,8,0,1
2645,963,5856,1809,6,4,0,0
80034,2574,386,53,19,19,0,1
14081,821,5990,1231,7,0,0,0
17994,726,9996,1747,7,0,0,0
97052,3035,150,24,29,14,1,1
26892,768,5210,1164,2,2,1,0
46106,566,937,1489,7,4,1,0
93114,1412,287,20,19,9,1,1
94751,2694,194,14,31,13,-1,1
8083,945,4637,1075,9,0,0,0
24253,862,9029,1825,6,2,0,0
53774,1629,203,72,32,15,1,1
70733,3017,18,43,18,5,-1,1
23700,791,7822,1058,4,4,0,0
7852,25,3456,1856,6,1,0,0
38946,339,6194,1216,9,3,0,0
21618,494,8507,1580,7,0,0,0
27589,122,8348,1325,6,3,0,0
46415,125,2723,1495,1,4,0,0
81974,4501,306,0,37,9,-1,1
38219,477,3392,1071,7,3,0,0
52566,1904,289,49,24,6,0,1
94156,4012,77,62,36,10,0,1
84860,1702,486,9,23,17,-1,1
19540,488,5954,1212,8,3,0,0
39787,963,8256,1470,6,0,0,0
71878,1882,123,73,46,18,-1,1
94294,2927,354,51,13,16,0,1
28848,117,6040,1887,7,0,0,0
99371,1419,151,15,39,7,0,1
24265,39,2432,1588,7,4,0,0
34621,111,8988,1630,6,1,0,0
82919,1873,481,42,16,6,-1,1
14380,833,8722,1226,5,1,0,0
16048,928,2492,1002,5,3,0,0
38732,602,4268,1502,8,4,0,0
38819,258,9476,1838,2,2,0,0
21530,515,5659,1222,9,1,0,0
21695,18,8218,1195,2,0,0,0
49781,868,9127,1159,7,3,0,0
15397,898,3658,1066,1,3,1,0
13576,165,3259,1231,5,3,0,0
94372,4300,312,27,28,19,1,1
78210,2223,51,67,20,13,1,1
23297,69,2936,1532,9,2,0,0
12664,745,4872,1232,9,0,0,0
45662,730,5175,1179,2,3,0,0
1569,194,5039,1712,8,4,0,0
3198,831,3817,1030,7,0,0,0
47959,649,5438,1466,2,0,0,0
27370,559,6603,1746,4,4,0,0
20835,553,9308,1830,2,0,0,0
46917,365,3757,1582,4,1,0,0
5544,422,9913,1732,1,3,0,0
17984,212,7498,1448,4,2,0,0
58933,2182,209,89,36,8,1,1
61030,4638,3,3,14,17,1,1
99937,3616,483,63,33,19,-1,1
14146,356,5994,1020,5,2,0,0
49563,924,9236,1544,2,4,0,0
16997,246,1186,1184,4,0,0,0
8052,728,8234,1189,7,3,0,0
95032,4390,260,60,25,13,-1,1
75642,2922,195,20,41,15,-1,1
30055,423,1373,1310,7,4,0,0
51511,2879,304,4,44,12,0,1
14456,820,2361,1257,7,0,0,0
68281,2964,284,94,15,11,-1,1
74592,2654,444,28,12,17,1,1
41080,824,4105,1081,6,1,0,0
63137,4056,461,28,41,5,0,1
36262,156,8618,1653,1,2,0,0
2167,940,9765,1228,9,4,1,0
24486,928,9816,1341,1,0,0,0
51634,4334,125,41,41,13,-1,1
8543,852,5494,1231,2,3,0,0
34187,968,9146,1052,8,3,0,0
4797,76,2376,1433,8,3,0,0
1009,995,8170,1088,5,3,0,0
24483,634,5731,1589,5,0,0,0
66888,4716,47,51,29,11,0,1
48362,836,3440,1541,5,3,0,0
41901,406,4696,1565,5,1,0,0
48241,472,8927,1969,3,3,1,0
39304,691,2871,1765,3,4,0,0
31930,766,2570,1631,6,4,0,0
61659,1247,95,16,28,16,1,1
18019,313,7692,1080,8,0,0,0
57636,1651,301,85,47,10,-1,1
40353,836,1978,1554,8,3,0,0
46558,869,5420,1076,2,1,0,0
24793,199,1633,1690,7,1,0,0
34662,267,4436,1323,2,4,0,0
38396,34,7671,1738,3,0,0,0
42903,504,1169,1973,3,4,0,0
29769,891,8570,1591,4,4,0,0
91472,4865,423,67,28,16,-1,1
14565,175,2501,1249,2,0,0,0
7397,710,1050,1882,7,3,1,0
8056,558,4674,1333,7,2,0,0
23422,897,863,1207,8,1,0,0
71971,4777,314,21,10,19,0,1
72844,3023,495,76,12,5,0,1
62842,1798,352,4,20,17,1,1
15039,376,9790,1145,4,0,0,0
3113,893,7194,1471,4,3,0,0
79152,4608,237,93,19,7,1,1
52477,1510,339,74,16,17,1,1
90694,4225,143,3,33,15,-1,1
65475,2911,375,57,30,7,-1,1
7910,563,2881,1549,4,3,0,0
39067,406,8574,1926,9,3,0,0
11326,955,7292,1060,1,2,0,0
37035,712,9610,1171,8,1,0,0
4748,109,5537,1341,7,0,0,0
32653,108,5997,1249,1,0,0,0
29211,945,7885,1675,3,1,0,0
42975,157,1298,1125,7,3,0,0
95321,2852,73,72,18,9,-1,1
63790,3036,261,48,39,11,0,1
14937,894,3849,1787,2,1,0,0
19052,700,8571,1756,5,0,0,0
69425,3901,368,17,24,8,1,1
58086,2384,444,75,30,9,-1,1
36057,683,1696,1823,9,2,0,0
19343,558,5024,1239,2,3,0,0
99577,4478,60,82,12,14,1,1
91119,2201,458,77,38,14,1,1
77428,1138,465,26,12,15,1,1
29921,944,9719,1162,5,4,0,0
20115,443,6948,1256,9,2,0,0
90517,3623,310,99,20,15,1,1
2492,306,4576,1165,9,4,0,0
36201,644,1632,1559,9,2,0,0
95890,1283,362,16,40,17,-1,1
41355,979,9881,1974,5,3,0,0
49854,803,7247,1159,6,2,0,0
17299,555,7168,1702,2,2,0,0
97602,3664,234,30,35,14,-1,1
2342,189,1382,1332,9,0,0,0
38660,252,6769,1568,1,1,0,0
73083,1889,245,31,17,6,-1,1
24225,278,5763,1613,8,1,0,0
72409,3955,12,7,20,8,0,1
21309,693,678,1456,9,1,0,0
39413,331,4279,1455,6,0,0,0
26227,920,2768,1068,5,2,0,0
32186,580,7395,1171,2,0,0,0
89355,4792,468,60,43,14,1,1
48280,822,6103,1099,4,4,0,0
60291,2182,453,62,41,9,-1,1
6299,339,9757,1528,4,1,0,0
65993,4538,358,24,47,11,0,1
82390,1897,305,88,18,12,1,1
45064,114,1313,1448,7,1,0,0
43808,302,8496,1976,9,1,0,0
3454,582,9459,1467,4,2,0,0
3049,923,7163,1324,2,1,0,0
